[2025-05-13 18:47:34] Identifier: BATCH_MODE | Status: INFO | Message: Starting batch processing from file: .\test-dois.txt
[2025-05-13 18:47:34] Identifier: BATCH_MODE | Status: INFO | Message: Found 28 identifiers to process.
[2025-05-13 18:47:34] Identifier: 10.2514/6.2016-2392 | Status: INFO | Message: Starting processing for item 1/28
[2025-05-13 18:47:34] Identifier: 10.2514/6.2016-2392 | Status: INFO | Message: Starting process for: 10.2514/6.2016-2392
[2025-05-13 18:47:34] Identifier: 10.2514/6.2016-2392 | Status: INFO | Message: No direct PDF URL found via OpenAlex.
[2025-05-13 18:47:34] Identifier: 10.2514/6.2016-2392 | Status: INFO | Message: Attempting Sci-Hub fallback for DOI: 10.2514/6.2016-2392 using selenium method.
[2025-05-13 18:47:34] Identifier: 10.2514/6.2016-2392 | Status: INFO | Message: [Selenium] Attempting to retrieve PDF link from Sci-Hub page: https://sci-hub.mksa.top/10.2514/6.2016-2392
[2025-05-13 18:47:50] Identifier: 10.2514/6.2016-2392 | Status: DEBUG | Message: [Selenium] 'Not found' message not detected via specific text check within 6s. Proceeding to PDF check.
[2025-05-13 18:47:50] Identifier: 10.2514/6.2016-2392 | Status: INFO | Message: [Selenium] Looking for iframe with id='pdf' or embed with id='pdf'...
[2025-05-13 18:47:50] Identifier: 10.2514/6.2016-2392 | Status: INFO | Message: [Selenium] Found PDF element (iframe/embed#pdf) with src: https://sci.bban.top/pdf/10.2514/6.2016-2392.pdf
[2025-05-13 18:47:50] Identifier: 10.2514/6.2016-2392 | Status: SUCCESS | Message: [Selenium] Successfully retrieved PDF link: https://sci.bban.top/pdf/10.2514/6.2016-2392.pdf
[2025-05-13 18:47:50] Identifier: 10.2514/6.2016-2392 | Status: INFO | Message: [Selenium] Extracted 9 cookie(s) from the session.
[2025-05-13 18:47:50] Identifier: 10.2514/6.2016-2392 | Status: INFO | Message: [Selenium] Quitting WebDriver.
